Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Nacionalidad;Total
Mujeres;Total Nacional;05 Canarias;;Bélgica;2.163
Mujeres;Total Nacional;05 Canarias;;Bulgaria;1.402
Mujeres;Total Nacional;05 Canarias;;Chipre;10
Mujeres;Total Nacional;05 Canarias;;Croacia;202
Mujeres;Total Nacional;05 Canarias;;Dinamarca;333
Mujeres;Total Nacional;05 Canarias;;Eslovenia;287
Mujeres;Total Nacional;05 Canarias;;Estonia;357
Mujeres;Total Nacional;05 Canarias;;Finlandia;655
Mujeres;Total Nacional;05 Canarias;;Francia;3.356
Mujeres;Total Nacional;05 Canarias;;Grecia;148
Mujeres;Total Nacional;05 Canarias;;Hungría;1.279
Mujeres;Total Nacional;05 Canarias;;Irlanda;1.224
Mujeres;Total Nacional;05 Canarias;;Italia;22.737
Mujeres;Total Nacional;05 Canarias;;Letonia;619
Mujeres;Total Nacional;05 Canarias;;Lituania;859
Mujeres;Total Nacional;05 Canarias;;Luxemburgo;52
Mujeres;Total Nacional;05 Canarias;;Malta;12
Mujeres;Total Nacional;05 Canarias;;Países Bajos;1.716
Mujeres;Total Nacional;05 Canarias;;Polonia;2.915
Mujeres;Total Nacional;05 Canarias;;Portugal;2.292
Mujeres;Total Nacional;05 Canarias;;República Checa;916
Mujeres;Total Nacional;05 Canarias;;República Eslovaca;676
Mujeres;Total Nacional;05 Canarias;;Rumanía;4.268
Mujeres;Total Nacional;05 Canarias;;Suecia;1.090
Mujeres;Total Nacional;05 Canarias;;Albania;65
Mujeres;Total Nacional;05 Canarias;;Andorra;4
Mujeres;Total Nacional;05 Canarias;;Armenia;29
Mujeres;Total Nacional;05 Canarias;;Belarús;224
Mujeres;Total Nacional;05 Canarias;;Bosnia y Herzegovina;33
Mujeres;Total Nacional;05 Canarias;;Georgia;49
Mujeres;Total Nacional;05 Canarias;;Islandia;117
Mujeres;Total Nacional;05 Canarias;;Liechtenstein;3
Mujeres;Total Nacional;05 Canarias;;Macedonia;22
Mujeres;Total Nacional;05 Canarias;;Moldavia;153
Mujeres;Total Nacional;05 Canarias;;Noruega;836
Mujeres;Total Nacional;05 Canarias;;Reino Unido;14.818
Mujeres;Total Nacional;05 Canarias;;Rusia;2.684
Mujeres;Total Nacional;05 Canarias;;Serbia;129
Mujeres;Total Nacional;05 Canarias;;Suiza;968
Mujeres;Total Nacional;05 Canarias;;Turquía;33
Mujeres;Total Nacional;05 Canarias;;Ucrania;845
Mujeres;Total Nacional;05 Canarias;;Resto de Nacionalidades Europeas;15
Mujeres;Total Nacional;05 Canarias;;Angola;11
Mujeres;Total Nacional;05 Canarias;;Argelia;166
Mujeres;Total Nacional;05 Canarias;;Benin;7
Mujeres;Total Nacional;05 Canarias;;Burkina Faso;4
Mujeres;Total Nacional;05 Canarias;;Cabo Verde;141
Mujeres;Total Nacional;05 Canarias;;Camerún;33
Mujeres;Total Nacional;05 Canarias;;Congo;13
Mujeres;Total Nacional;05 Canarias;;Costa de Marfil;99
Mujeres;Total Nacional;05 Canarias;;Egipto;9
Mujeres;Total Nacional;05 Canarias;;Etiopía;5
Mujeres;Total Nacional;05 Canarias;;Gambia;40
Mujeres;Total Nacional;05 Canarias;;Ghana;125
Mujeres;Total Nacional;05 Canarias;;Guinea;187
Mujeres;Total Nacional;05 Canarias;;Guinea Ecuatorial;185
Mujeres;Total Nacional;05 Canarias;;Guinea-Bissau;114
Mujeres;Total Nacional;05 Canarias;;Kenia;22
Mujeres;Total Nacional;05 Canarias;;Liberia;6
Mujeres;Total Nacional;05 Canarias;;Mali;77
Mujeres;Total Nacional;05 Canarias;;Marruecos;7.133
Mujeres;Total Nacional;05 Canarias;;Mauritania;1.039
Mujeres;Total Nacional;05 Canarias;;Nigeria;578
Mujeres;Total Nacional;05 Canarias;;República Democrática del Congo;4
Mujeres;Total Nacional;05 Canarias;;Senegal;1.169
Mujeres;Total Nacional;05 Canarias;;Sierra Leona;53
Mujeres;Total Nacional;05 Canarias;;Sudáfrica;35
Mujeres;Total Nacional;05 Canarias;;Togo;8
Mujeres;Total Nacional;05 Canarias;;Túnez;19
Mujeres;Total Nacional;05 Canarias;;Resto de África;50
Mujeres;Total Nacional;05 Canarias;;Costa Rica;34
Mujeres;Total Nacional;05 Canarias;;Cuba;7.207
Mujeres;Total Nacional;05 Canarias;;Dominica;8
Mujeres;Total Nacional;05 Canarias;;El Salvador;51
Mujeres;Total Nacional;05 Canarias;;Guatemala;115
Mujeres;Total Nacional;05 Canarias;;Honduras;1.003
Mujeres;Total Nacional;05 Canarias;;Nicaragua;111
Mujeres;Total Nacional;05 Canarias;;Panamá;63
Mujeres;Total Nacional;05 Canarias;;República Dominicana;759
Mujeres;Total Nacional;05 Canarias;;Resto de América Central y Caribe;18
Mujeres;Total Nacional;05 Canarias;;Canadá;113
Mujeres;Total Nacional;05 Canarias;;Estados Unidos de América;575
Mujeres;Total Nacional;05 Canarias;;México;394
Mujeres;Total Nacional;05 Canarias;;Argentina;2.323
Mujeres;Total Nacional;05 Canarias;;Bolivia;584
Mujeres;Total Nacional;05 Canarias;;Brasil;1.429
Mujeres;Total Nacional;05 Canarias;;Chile;663
Mujeres;Total Nacional;05 Canarias;;Colombia;9.137
Mujeres;Total Nacional;05 Canarias;;Ecuador;676
Mujeres;Total Nacional;05 Canarias;;Paraguay;934
Mujeres;Total Nacional;05 Canarias;;Perú;863
Mujeres;Total Nacional;05 Canarias;;Uruguay;1.328
Mujeres;Total Nacional;05 Canarias;;Venezuela;11.197
Mujeres;Total Nacional;05 Canarias;;Resto de América del Sur;1
Mujeres;Total Nacional;05 Canarias;;Arabia Saudí;3
Mujeres;Total Nacional;05 Canarias;;Bangladesh;195
Mujeres;Total Nacional;05 Canarias;;China;5.118
Mujeres;Total Nacional;05 Canarias;;Corea;142
Mujeres;Total Nacional;05 Canarias;;Filipinas;1.059
Mujeres;Total Nacional;05 Canarias;;India;1.615
Mujeres;Total Nacional;05 Canarias;;Indonesia;51
Mujeres;Total Nacional;05 Canarias;;Irán;50
Mujeres;Total Nacional;05 Canarias;;Iraq;6
Mujeres;Total Nacional;05 Canarias;;Israel;34
Mujeres;Total Nacional;05 Canarias;;Japón;101
Mujeres;Total Nacional;05 Canarias;;Jordania;25
Mujeres;Total Nacional;05 Canarias;;Kazajstán;91
Mujeres;Total Nacional;05 Canarias;;Líbano;42
Mujeres;Total Nacional;05 Canarias;;Nepal;145
Mujeres;Total Nacional;05 Canarias;;Pakistán;200
Mujeres;Total Nacional;05 Canarias;;Siria;22
Mujeres;Total Nacional;05 Canarias;;Tailandia;172
Mujeres;Total Nacional;05 Canarias;;Vietnam;33
Mujeres;Total Nacional;05 Canarias;;Resto de Asia;128
Mujeres;Total Nacional;05 Canarias;;Australia;43
Mujeres;Total Nacional;05 Canarias;;Nueva Zelanda;8
Mujeres;Total Nacional;05 Canarias;;Resto de Oceanía;2
Mujeres;Total Nacional;05 Canarias;;Apátridas;19
